type (exogenous=0 endogenous=1 stop=-1), time (sec), branch number
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
0,1,7
1,11.0000,9
1,535.9983,1
1,545.4719,2
-1,645.4719,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
0,1,7
1,11.0000,9
1,535.9983,1
1,545.4719,2
-1,645.4719,-1
-1,101.0000,-1
0,1,3
1,18.2059,8
1,20.8529,5
-1,120.8529,-1
-1,101.0000,-1
-1,101.0000,-1
-1,101.0000,-1
0,1,6
1,50.8214,8
1,61.5987,5
1,69.0987,3
-1,169.0987,-1
-1,101.0000,-1
-1,101.0000,-1
0,1,4
1,28.2689,2
1,31.2689,8
1,34.8641,5
1,35.1820,1
