from,to,width
11,1,0.474222
37,1,0.892974
40,1,0.374576
41,1,0.396484
48,1,0.133629
56,1,0.323223
57,1,0.293439
2733,1,0.0160546
11,2,0.474222
37,2,0.892974
40,2,0.374576
41,2,0.396484
48,2,0.133629
56,2,0.323223
57,2,0.293439
2733,2,0.0160546
8,3,0.0388166
9,3,0.925976
11,3,0.702832
37,3,0.0745519
38,3,5.27524
40,3,0.374576
41,3,0.777247
48,3,3.42483
115,3,0.0347648
133,3,0.0069929
134,3,0.00745223
233,3,0.00580903
433,3,0.0170982
617,3,0.0124922
771,3,0.0252587
827,3,0.00513266
952,3,0.00646456
2255,3,0.0578768
8,4,0.0388166
9,4,0.925976
11,4,0.702832
37,4,0.0745519
38,4,5.27524
40,4,0.374576
41,4,0.777247
48,4,3.42483
115,4,0.0347648
133,4,0.0069929
134,4,0.00745223
233,4,0.00580903
433,4,0.0170982
617,4,0.0124922
771,4,0.0252587
827,4,0.00513266
952,4,0.00646456
2255,4,0.0578768
36,5,0.481676
675,5,1.21659
36,6,0.481676
248,6,0.0333392
34,7,0.031869
52,7,0.0145785
2798,7,0.128424
15,8,0.0181664
20,8,0.012945
24,8,4.21375
32,8,0.012945
51,8,0.0113058
52,8,0.0581867
68,8,0.19738
86,8,0.0125167
88,8,0.0782361
98,8,0.028955
113,8,0.0662962
115,8,0.0116017
133,8,0.0239553
134,8,0.0255274
233,8,0.0608268
236,8,0.00620925
250,8,0.0534366
251,8,0.0432217
263,8,0.525472
433,8,0.405125
453,8,0.284976
578,8,0.231274
609,8,0.293518
617,8,0.138614
657,8,0.0647704
680,8,0.32694
688,8,0.120239
690,8,0.300484
696,8,0.0614574
771,8,0.0462588
817,8,0.575153
821,8,0.0168776
827,8,0.122097
863,8,0.114267
897,8,0.0210252
922,8,0.0231442
948,8,0.020238
952,8,0.0124636
960,8,0.0103614
973,8,0.00741439
1017,8,0.0187596
1065,8,0.0263488
1085,8,0.00881924
1250,8,0.63632
1633,8,0.0254312
1637,8,0.104885
1682,8,0.0373864
1781,8,0.0647247
1816,8,0.980116
2003,8,0.0711741
2028,8,3.65703
2031,8,0.713027
2219,8,0.315277
2255,8,0.115419
2294,8,0.0410572
2644,8,0.145136
2712,8,0.199993
2733,8,0.064064
1,9,0.152806
2,9,0.152806
10,9,0.100058
11,9,0.239991
24,9,0.0494635
39,9,0.101877
40,9,0.735121
41,9,0.396484
48,9,0.898726
817,9,0.0447266
817,10,0.0892531
3,11,0.687302
4,11,0.687302
9,11,1.76621
37,11,2.6145
38,11,0.63451
40,11,0.735121
41,11,1.14291
48,11,0.79612
56,11,0.343388
57,11,0.311777
115,11,0.0347648
133,11,0.0139809
134,11,0.0148989
233,11,0.00580903
690,11,0.0034748
