List of triggering branch outages (branch numbers)
10,41,
15,16,
16,25,
16,30,
16,32,
16,36,
19,32,
28,29,
30,36,
31,36,
1,2,30,
1,2,32,
1,4,30,
1,4,32,
1,10,41,
1,15,16,
1,16,30,
1,16,32,
1,16,36,
1,19,32,
1,28,29,
1,30,36,
1,31,36,
2,10,41,
2,15,16,
2,16,25,
2,16,29,
2,16,30,
2,16,32,
2,16,36,
2,28,29,
2,30,36,
2,31,36,
3,10,41,
3,15,16,
3,16,25,
3,16,29,
3,16,30,
3,16,32,
3,16,36,
3,28,29,
3,30,36,
3,31,36,
4,10,41,
4,15,16,
4,16,25,
4,16,29,
4,16,30,
4,16,32,
4,16,36,
4,28,29,
4,30,36,
4,31,36,
5,6,7,
5,10,41,
5,15,16,
5,16,30,
5,16,32,
5,16,36,
5,19,32,
5,28,29,
5,30,36,
5,31,36,
6,7,8,
6,7,9,
6,7,18,
6,7,19,
6,7,21,
6,7,22,
6,7,23,
6,7,32,
6,10,41,
6,15,16,
6,16,30,
6,16,32,
6,16,36,
6,19,32,
6,28,29,
6,30,36,
6,31,36,
7,10,41,
7,15,16,
7,16,30,
7,16,32,
7,16,36,
7,17,18,
7,19,22,
7,19,23,
7,19,29,
7,19,31,
7,19,32,
7,21,22,
7,21,23,
7,21,32,
7,22,32,
7,23,32,
7,28,29,
7,30,36,
7,31,36,
8,10,41,
8,15,16,
8,16,30,
8,16,32,
8,16,36,
8,19,32,
8,28,29,
8,30,36,
8,31,36,
9,10,41,
9,15,16,
9,16,25,
9,16,30,
9,16,32,
9,16,36,
9,28,29,
9,30,36,
9,31,36,
10,11,40,
10,11,41,
10,12,41,
10,13,41,
10,14,40,
10,14,41,
10,15,16,
10,15,41,
10,16,30,
10,16,32,
10,16,36,
10,17,41,
10,18,41,
10,19,32,
10,19,41,
10,20,41,
10,21,41,
10,22,41,
10,23,41,
10,24,41,
10,25,41,
10,26,41,
10,27,41,
10,28,29,
10,28,41,
10,29,41,
10,30,36,
10,30,41,
10,31,36,
10,31,41,
10,32,41,
10,37,41,
10,38,41,
10,39,41,
11,12,19,
11,15,16,
11,16,30,
11,16,32,
11,16,36,
11,17,18,
11,19,22,
11,19,23,
11,19,31,
11,19,32,
11,21,22,
11,21,32,
11,22,32,
11,28,29,
11,30,36,
11,31,36,
11,37,38,
12,14,19,
12,15,16,
12,16,30,
12,16,32,
12,16,36,
12,17,18,
12,19,22,
12,19,32,
12,28,29,
12,30,36,
12,31,36,
13,15,16,
13,16,25,
13,16,30,
13,16,32,
13,16,36,
13,19,32,
13,28,29,
13,30,36,
13,31,36,
14,15,16,
14,16,30,
14,16,32,
14,16,36,
14,17,18,
14,19,22,
14,19,23,
14,19,31,
14,19,32,
14,21,22,
14,21,32,
14,22,32,
14,28,29,
14,30,36,
14,31,36,
14,37,38,
15,16,17,
15,16,18,
15,16,19,
15,16,20,
15,16,21,
15,16,22,
15,16,23,
15,16,24,
15,16,25,
15,16,26,
15,16,27,
15,16,28,
15,16,29,
15,16,30,
15,16,31,
15,16,32,
15,16,34,
15,16,36,
15,16,37,
15,16,38,
15,16,39,
15,16,40,
15,16,41,
15,17,18,
15,18,19,
15,19,22,
15,19,23,
15,19,29,
15,19,31,
15,19,32,
15,21,22,
15,21,23,
15,21,32,
15,22,32,
15,23,32,
15,28,29,
15,30,36,
15,31,36,
16,17,25,
16,17,29,
